
> apex-trading-terminal@1.0.0 dev
> next dev -p 3000

 ⚠ Warning: Next.js inferred your workspace root, but it may not be correct.
 We detected multiple lockfiles and selected the directory of /home/aarav/Aarav/Autopilot/autopilot-local/package-lock.json as the root directory.
 To silence this warning, set `outputFileTracingRoot` in your Next.js config, or consider removing one of the lockfiles if it's not needed.
   See https://nextjs.org/docs/app/api-reference/config/next-config-js/output#caveats for more information.
 Detected additional lockfiles: 
   * /home/aarav/Aarav/Autopilot/autopilot-local/frontend/package-lock.json

   ▲ Next.js 15.5.18
   - Local:        http://localhost:3000
   - Network:      http://10.255.255.254:3000
   - Environments: .env.local

 ✓ Starting...
 ✓ Ready in 1255ms
 ○ Compiling / ...
 ✓ Compiled / in 1073ms (629 modules)
 GET / 200 in 39ms
 GET / 200 in 44ms
 GET / 200 in 46ms
 GET / 200 in 50ms
 GET / 200 in 45ms
 GET / 200 in 46ms
 GET / 200 in 41ms
 GET / 200 in 40ms
 GET / 200 in 53ms
 GET / 200 in 42ms
 GET / 200 in 42ms
 GET / 200 in 47ms
 GET / 200 in 38ms
 GET / 200 in 42ms
 GET / 200 in 46ms
 GET / 200 in 62ms
 GET / 200 in 43ms
 GET / 200 in 46ms
 GET / 200 in 41ms
 GET / 200 in 43ms
 GET / 200 in 45ms
 GET / 200 in 41ms
 GET / 200 in 41ms
 GET / 200 in 45ms
 GET / 200 in 48ms
 GET / 200 in 40ms
 GET / 200 in 46ms
 GET / 200 in 58ms
 GET / 200 in 53ms
 GET / 200 in 42ms
 GET / 200 in 47ms
 GET / 200 in 40ms
 GET / 200 in 43ms
 GET / 200 in 44ms
 GET / 200 in 40ms
 GET / 200 in 41ms
 GET / 200 in 47ms
 GET / 200 in 46ms
 GET / 200 in 40ms
 GET / 200 in 45ms
 GET / 200 in 46ms
 GET / 200 in 42ms
 GET / 200 in 47ms
 GET / 200 in 42ms
 GET / 200 in 47ms
 GET / 200 in 43ms
 GET / 200 in 46ms
 GET / 200 in 43ms
 GET / 200 in 41ms
 GET / 200 in 46ms
 GET / 200 in 42ms
 GET / 200 in 41ms
 GET / 200 in 46ms
 GET / 200 in 68ms
 GET / 200 in 56ms
 GET / 200 in 52ms
 GET / 200 in 50ms
 GET / 200 in 46ms
 GET / 200 in 53ms
 GET / 200 in 42ms
 GET / 200 in 47ms
 GET / 200 in 49ms
 GET / 200 in 50ms
 GET / 200 in 47ms
 GET / 200 in 48ms
 GET / 200 in 63ms
 GET / 200 in 52ms
 GET / 200 in 47ms
 GET / 200 in 49ms
 GET / 200 in 45ms
 GET / 200 in 48ms
 GET / 200 in 51ms
 GET / 200 in 47ms
 GET / 200 in 52ms
 GET / 200 in 54ms
 GET / 200 in 47ms
 GET / 200 in 47ms
 GET / 200 in 50ms
 GET / 200 in 61ms
 GET / 200 in 54ms
 GET / 200 in 49ms
 GET / 200 in 49ms
 GET / 200 in 47ms
 GET / 200 in 48ms
 GET / 200 in 59ms
 GET / 200 in 46ms
 GET / 200 in 47ms
 GET / 200 in 46ms
 GET / 200 in 49ms
 GET / 200 in 47ms
 GET / 200 in 46ms
 GET / 200 in 67ms
 GET / 200 in 48ms
 GET / 200 in 47ms
 GET / 200 in 53ms
 GET / 200 in 46ms
 GET / 200 in 48ms
 GET / 200 in 55ms
 GET / 200 in 47ms
 GET / 200 in 51ms
 GET / 200 in 52ms
 GET / 200 in 53ms
 GET / 200 in 49ms
 GET / 200 in 47ms
 GET / 200 in 66ms
 GET / 200 in 54ms
 GET / 200 in 46ms
 GET / 200 in 50ms
 GET / 200 in 50ms
 GET / 200 in 48ms
 GET / 200 in 50ms
 GET / 200 in 46ms
 GET / 200 in 50ms
 GET / 200 in 47ms
 GET / 200 in 48ms
 GET / 200 in 47ms
 GET / 200 in 51ms
 GET / 200 in 47ms
 GET / 200 in 47ms
 GET / 200 in 50ms
 GET / 200 in 47ms
 GET / 200 in 44ms
 GET / 200 in 52ms
 GET / 200 in 48ms
 GET / 200 in 47ms
 GET / 200 in 54ms
 GET / 200 in 53ms
 GET / 200 in 49ms
 GET / 200 in 50ms
 GET / 200 in 53ms
 GET / 200 in 57ms
 GET / 200 in 52ms
 GET / 200 in 51ms
 GET / 200 in 46ms
 GET / 200 in 47ms
 GET / 200 in 51ms
 GET / 200 in 57ms
 GET / 200 in 45ms
 GET / 200 in 50ms
 GET / 200 in 48ms
 GET / 200 in 48ms
 GET / 200 in 49ms
 GET / 200 in 50ms
 GET / 200 in 58ms
 GET / 200 in 48ms
 GET / 200 in 47ms
 GET / 200 in 50ms
 GET / 200 in 51ms
 GET / 200 in 51ms
 GET / 200 in 49ms
 GET / 200 in 53ms
 GET / 200 in 54ms
 GET / 200 in 50ms
 GET / 200 in 47ms
 GET / 200 in 54ms
 GET / 200 in 49ms
 GET / 200 in 50ms
 GET / 200 in 50ms
 GET / 200 in 49ms
 GET / 200 in 46ms
 GET / 200 in 52ms
 GET / 200 in 50ms
 GET / 200 in 47ms
 GET / 200 in 55ms
 GET / 200 in 53ms
 GET / 200 in 51ms
 GET / 200 in 48ms
 GET / 200 in 55ms
 GET / 200 in 48ms
 GET / 200 in 45ms
 GET / 200 in 54ms
 GET / 200 in 52ms
 GET / 200 in 48ms
 GET / 200 in 48ms
 GET / 200 in 51ms
 GET / 200 in 45ms
 GET / 200 in 48ms
 GET / 200 in 51ms
 GET / 200 in 49ms
 GET / 200 in 48ms
 GET / 200 in 51ms
 GET / 200 in 46ms
 GET / 200 in 49ms
 GET / 200 in 81ms
 GET / 200 in 51ms
 GET / 200 in 54ms
 GET / 200 in 47ms
 GET / 200 in 46ms
 GET / 200 in 47ms
 GET / 200 in 46ms
 GET / 200 in 50ms
 GET / 200 in 47ms
 GET / 200 in 46ms
 GET / 200 in 51ms
 GET / 200 in 47ms
 GET / 200 in 46ms
 GET / 200 in 53ms
 GET / 200 in 74ms
 GET / 200 in 53ms
 GET / 200 in 46ms
 GET / 200 in 48ms
 GET / 200 in 50ms
 GET / 200 in 45ms
 GET / 200 in 54ms
 GET / 200 in 49ms
 GET / 200 in 47ms
 GET / 200 in 53ms
 GET / 200 in 52ms
 GET / 200 in 48ms
 GET / 200 in 46ms
 GET / 200 in 54ms
 GET / 200 in 52ms
 GET / 200 in 50ms
 GET / 200 in 47ms
 GET / 200 in 47ms
 GET / 200 in 48ms
 GET / 200 in 51ms
 GET / 200 in 47ms
 GET / 200 in 47ms
 GET / 200 in 50ms
 GET / 200 in 48ms
 GET / 200 in 50ms
 GET / 200 in 52ms
 GET / 200 in 45ms
 GET / 200 in 61ms
 GET / 200 in 48ms
 GET / 200 in 52ms
 GET / 200 in 49ms
 GET / 200 in 48ms
 GET / 200 in 54ms
 GET / 200 in 46ms
 GET / 200 in 49ms
 GET / 200 in 53ms
 GET / 200 in 50ms
 GET / 200 in 46ms
 GET / 200 in 51ms
 GET / 200 in 50ms
 GET / 200 in 51ms
 GET / 200 in 60ms
 GET / 200 in 58ms
 GET / 200 in 48ms
 GET / 200 in 49ms
 GET / 200 in 48ms
 GET / 200 in 49ms
 GET / 200 in 52ms
 GET / 200 in 46ms
 GET / 200 in 46ms
 GET / 200 in 48ms
 GET / 200 in 54ms
 GET / 200 in 49ms
 GET / 200 in 51ms
 GET / 200 in 50ms
 GET / 200 in 68ms
 GET / 200 in 53ms
 GET / 200 in 52ms
 GET / 200 in 45ms
 GET / 200 in 49ms
 GET / 200 in 51ms
 GET / 200 in 52ms
 GET / 200 in 48ms
 GET / 200 in 48ms
 GET / 200 in 52ms
 GET / 200 in 56ms
 GET / 200 in 44ms
 GET / 200 in 50ms
 GET / 200 in 52ms
 GET / 200 in 47ms
 GET / 200 in 56ms
 GET / 200 in 52ms
 GET / 200 in 45ms
 GET / 200 in 49ms
 GET / 200 in 46ms
 GET / 200 in 46ms
 GET / 200 in 51ms
 GET / 200 in 45ms
 GET / 200 in 56ms
 GET / 200 in 52ms
 GET / 200 in 54ms
 GET / 200 in 48ms
 GET / 200 in 46ms
 GET / 200 in 59ms
 GET / 200 in 53ms
 GET / 200 in 49ms
 GET / 200 in 49ms
 GET / 200 in 47ms
 GET / 200 in 50ms
 GET / 200 in 57ms
 GET / 200 in 45ms
 GET / 200 in 48ms
 GET / 200 in 52ms
 GET / 200 in 48ms
 GET / 200 in 49ms
 GET / 200 in 51ms
 GET / 200 in 51ms
 GET / 200 in 50ms
 GET / 200 in 51ms
 GET / 200 in 53ms
 GET / 200 in 44ms
 GET / 200 in 47ms
 GET / 200 in 52ms
 GET / 200 in 47ms
 GET / 200 in 47ms
 GET / 200 in 62ms
 GET / 200 in 46ms
 GET / 200 in 49ms
 GET / 200 in 54ms
 GET / 200 in 53ms
 GET / 200 in 54ms
 GET / 200 in 52ms
 GET / 200 in 54ms
 GET / 200 in 45ms
 GET / 200 in 50ms
 GET / 200 in 54ms
 GET / 200 in 48ms
 GET / 200 in 50ms
 GET / 200 in 52ms
 GET / 200 in 51ms
 GET / 200 in 48ms
 GET / 200 in 54ms
 GET / 200 in 52ms
 GET / 200 in 49ms
 GET / 200 in 55ms
 GET / 200 in 54ms
 GET / 200 in 68ms
 GET / 200 in 57ms
 GET / 200 in 50ms
 GET / 200 in 44ms
 GET / 200 in 46ms
 GET / 200 in 51ms
 GET / 200 in 56ms
 GET / 200 in 50ms
 GET / 200 in 53ms
 GET / 200 in 49ms
 GET / 200 in 46ms
 GET / 200 in 50ms
 GET / 200 in 47ms
 GET / 200 in 47ms
 GET / 200 in 50ms
 GET / 200 in 52ms
 GET / 200 in 48ms
 GET / 200 in 45ms
 GET / 200 in 52ms
 GET / 200 in 46ms
 GET / 200 in 50ms
 GET / 200 in 55ms
 GET / 200 in 48ms
 GET / 200 in 50ms
 GET / 200 in 57ms
 GET / 200 in 48ms
 GET / 200 in 55ms
 GET / 200 in 58ms
 GET / 200 in 49ms
 GET / 200 in 54ms
 GET / 200 in 59ms
 GET / 200 in 54ms
 GET / 200 in 46ms
 GET / 200 in 52ms
 GET / 200 in 47ms
 GET / 200 in 46ms
 GET / 200 in 51ms
 GET / 200 in 47ms
 GET / 200 in 47ms
 GET / 200 in 58ms
 GET / 200 in 51ms
 GET / 200 in 49ms
 GET / 200 in 47ms
 GET / 200 in 52ms
 GET / 200 in 49ms
 GET / 200 in 61ms
 GET / 200 in 53ms
 GET / 200 in 49ms
 GET / 200 in 48ms
 GET / 200 in 55ms
 GET / 200 in 50ms
 GET / 200 in 49ms
 GET / 200 in 55ms
 GET / 200 in 48ms
 GET / 200 in 54ms
 GET / 200 in 53ms
 GET / 200 in 50ms
 GET / 200 in 52ms
 GET / 200 in 48ms
 GET / 200 in 52ms
 GET / 200 in 51ms
 GET / 200 in 52ms
 GET / 200 in 50ms
 GET / 200 in 53ms
 GET / 200 in 50ms
 GET / 200 in 56ms
 GET / 200 in 46ms
 GET / 200 in 46ms
 GET / 200 in 53ms
 GET / 200 in 48ms
 GET / 200 in 49ms
 GET / 200 in 57ms
 GET / 200 in 57ms
 GET / 200 in 50ms
 GET / 200 in 47ms
 GET / 200 in 56ms
 GET / 200 in 55ms
 GET / 200 in 49ms
 GET / 200 in 53ms
 GET / 200 in 48ms
 GET / 200 in 47ms
 GET / 200 in 53ms
 GET / 200 in 56ms
 GET / 200 in 50ms
 GET / 200 in 49ms
 GET / 200 in 57ms
 GET / 200 in 51ms
 GET / 200 in 49ms
 GET / 200 in 53ms
 GET / 200 in 48ms
 GET / 200 in 76ms
 GET / 200 in 63ms
 GET / 200 in 66ms
 GET / 200 in 55ms
 GET /dashboard/risk-management 200 in 88ms
 GET / 200 in 78ms
 GET / 200 in 59ms
 GET / 200 in 111ms
Failed to proxy http://127.0.0.1:8000/api/risk/metrics Error: connect ECONNREFUSED 127.0.0.1:8000
    at <unknown> (Error: connect ECONNREFUSED 127.0.0.1:8000) {
  errno: -111,
  code: 'ECONNREFUSED',
  syscall: 'connect',
  address: '127.0.0.1',
  port: 8000
}
Error: connect ECONNREFUSED 127.0.0.1:8000
    at <unknown> (Error: connect ECONNREFUSED 127.0.0.1:8000) {
  errno: -111,
  code: 'ECONNREFUSED',
  syscall: 'connect',
  address: '127.0.0.1',
  port: 8000
}
Failed to proxy http://127.0.0.1:8000/health Error: connect ECONNREFUSED 127.0.0.1:8000
